subject,task,ctrl,cong,cost,kl,rt
24,S 71,L,C,0.010460568553268795,0.0060098460591890435,0.9574794520547945
24,S 72,L,I,0.019130535176734183,0.011458827176543495,1.1004800000000001
25,S 21,H,C,0.026882916288145466,0.015179955032579214,0.8974933333333334
25,S 22,H,I,0.0329686609360016,0.01846445438026147,0.9700091324200913
25,S 51,M,C,0.021558103593171254,0.012489023157264988,0.8907027027027027
25,S 52,M,I,0.03571148856869807,0.02045159348128355,0.9623783783783784
25,S 71,L,C,0.022377964192752176,0.012716929837706004,0.8948310502283104
25,S 72,L,I,0.03758297587795152,0.02180887824736856,0.9914666666666667
26,S 21,H,C,0.018166296557151615,0.00865907879191202,0.9610666666666667
26,S 22,H,I,0.022420206299746927,0.010822477933351407,1.0551232876712329
26,S 51,M,C,0.01612537088910634,0.00805814803630395,0.9205405405405405
26,S 52,M,I,0.02903605272671575,0.014129641099417181,1.0118918918918918
26,S 71,L,C,0.0098705683946503,0.004876405107574769,0.983013698630137
26,S 72,L,I,0.04336676169204292,0.021188321676311975,1.0506666666666666
27,S 21,H,C,0.0564557063799587,0.03264920876312764,0.95584
27,S 22,H,I,0.061215542634908846,0.03611964623235722,0.9678173515981736
27,S 51,M,C,0.07282987156542717,0.040616406162098814,0.9682162162162162
27,S 52,M,I,0.066789183159574,0.03757025426696326,1.008972972972973
27,S 71,L,C,0.04997077620033423,0.02799655085673907,0.9454611872146119
27,S 72,L,I,0.11260632251197861,0.06365214762272398,1.0184533333333334
28,S 21,H,C,0.017394404635102202,0.008845166345479091,0.9400533333333333
28,S 22,H,I,0.017869685597577435,0.009262073951790703,0.9843287671232877
28,S 51,M,C,0.00180816001677202,0.0009215743780523542,0.9517837837837837
28,S 52,M,I,0.014058902978898204,0.007017731716938029,0.977081081081081
28,S 71,L,C,0.010007427154895781,0.005208407765498978,0.9045844748858448
28,S 72,L,I,0.014351077449108822,0.007384367784028997,0.9390933333333333
29,S 21,H,C,0.006126060222069797,0.0032087321320218853,0.9650133333333333
29,S 22,H,I,0.005164457094042981,0.00245547339922016,1.012420091324201
29,S 51,M,C,0.006998632467330222,0.0038592409607254817,0.9215135135135135
29,S 52,M,I,0.007230175520176282,0.003497603814567563,0.957945945945946
29,S 71,L,C,0.008751646753622,0.004479514232636565,0.9345022831050228
29,S 72,L,I,0.011093305366043,0.005789243465487997,1.07008
30,S 21,H,C,0.023957337707881495,0.014190708016851315,1.00832
30,S 22,H,I,0.03241516978491126,0.018438278388589004,1.0012420091324201
30,S 51,M,C,0.009067168023773886,0.0060126204799093065,0.9095135135135135
30,S 52,M,I,0.02001901389437443,0.011378862964755682,1.019027027027027
30,S 71,L,C,0.007869893074068943,0.00449154002208196,0.9574429223744293
30,S 72,L,I,0.022435698100018418,0.012705674131382558,1.0565333333333333
31,S 21,H,C,0.008822805274778701,0.005090560866276329,0.9688533333333333
31,S 22,H,I,0.01155800619077581,0.006017947816346254,1.0515068493150683
31,S 51,M,C,0.014002595893994583,0.007417944089655949,0.8968648648648649
31,S 52,M,I,0.008501951229140705,0.0043831151383308415,1.0555675675675675
31,S 71,L,C,0.02252608417830094,0.012037417744967319,0.9764018264840182
31,S 72,L,I,0.015873757911852276,0.008392262932253933,1.1314133333333334
32,S 21,H,C,0.017538725742627586,0.00855489080896756,1.0029866666666667
32,S 22,H,I,0.03032676636039558,0.0145564072976129,1.053552511415525
32,S 51,M,C,0.018882896923689323,0.00924221726412352,0.9727567567567568
32,S 52,M,I,0.028390775848763643,0.01366963475686487,1.1182702702702703
32,S 71,L,C,0.005410796098634051,0.0024877310776224865,0.9709589041095891
32,S 72,L,I,0.017552833671447266,0.008144211739990855,1.1101866666666667
33,S 21,H,C,0.006540599826091734,0.0036797067625694837,0.7699199999999999
33,S 22,H,I,0.005396045619842155,0.0033514710208805455,0.8074155251141553
33,S 51,M,C,0.006499356452894056,0.00386499538271103,0.7295135135135136
33,S 52,M,I,0.00793654802584805,0.004806299248220951,0.8002162162162163
33,S 71,L,C,0.004509505801326268,0.0026895385347963027,0.7505388127853881
