Subject,Cond,Int,State,Delta
11,I,H,B,-0.027841377244181266
11,I,H,C,0.03704792153076891
11,I,H,D,0.019100393367488977
11,I,H,E,-0.002351760437538694
11,I,H,F,0.005068644197735353
11,I,H,G,0.04579733670836794
11,I,H,H,-0.01847698257406427
11,I,H,I,-0.020101500476151946
11,I,M,A,-0.046419872431962134
11,I,M,B,-0.03507228249776149
11,I,M,C,0.012024336535247315
11,I,M,D,0.026675601432143314
11,I,M,E,-0.00823241627473481
11,I,M,F,0.00678786591569458
11,I,M,G,0.06797746518841763
11,I,M,H,-0.023536824915245662
11,I,M,I,-0.00020387295179877252
11,I,L,A,-0.04031851176777651
11,I,L,B,-0.019825315005758848
11,I,L,C,0.05058232526760201
11,I,L,D,-0.00976795652173007
11,I,L,E,0.023272463582459713
11,I,L,F,0.010754157902560374
11,I,L,G,0.012667711311605684
11,I,L,H,-0.010735743262734306
11,I,L,I,-0.01662913150622808
12,C,H,A,-0.03561415376831141
12,C,H,B,-0.025314562967382007
12,C,H,C,0.06803581696240793
12,C,H,D,-0.01788315804330183
12,C,H,E,0.05829805224342666
12,C,H,F,-0.02785952611008731
12,C,H,G,4.910024518620104e-05
12,C,H,H,-0.024655908428852027
12,C,H,I,0.004944339866913769
12,C,M,A,-0.04474344999331012
12,C,M,B,-0.01866379924923102
12,C,M,C,0.05454930305944289
12,C,M,D,-0.02083860814120045
12,C,M,E,0.06911595211940894
12,C,M,F,-0.03638899558543153
12,C,M,G,0.005351208455825762
12,C,M,H,-0.0023919143163870227
12,C,M,I,-0.005989696349117446
12,C,L,A,-0.02863304824719376
12,C,L,B,-0.023845546078915453
12,C,L,C,0.09235013001598691
12,C,L,D,-0.02066860219345354
12,C,L,E,0.02484272709852514
12,C,L,F,-0.010879779889233013
12,C,L,G,-0.002332185516243951
12,C,L,H,-0.026882123580328404
12,C,L,I,-0.003951571609143986
12,I,H,A,-0.012809967735829347
12,I,H,B,-0.01161801982266851
12,I,H,C,0.079390281772729
12,I,H,D,-0.023998395851187723
12,I,H,E,0.04167056041889064
12,I,H,F,-0.035455108313777836
12,I,H,G,-0.006736363867675649
12,I,H,H,-0.020980048760572412
12,I,H,I,-0.00946293783990819
12,I,M,A,-0.030575478437481887
12,I,M,B,-0.002013377196295199
12,I,M,C,0.032341797549788054
12,I,M,D,-0.013892570666165074
12,I,M,E,0.047560569432336525
12,I,M,F,-0.025642753035963764
12,I,M,G,0.006136829002182584
12,I,M,H,-0.009446347463074073
12,I,M,I,-0.004468669185327193
12,I,L,A,-0.012288752696432356
12,I,L,B,-0.024047072349286464
12,I,L,C,0.06766759418856
12,I,L,D,-0.030781139394698204
12,I,L,E,0.027342241951140822
12,I,L,F,-0.012465701727330664
12,I,L,G,0.0008961773562773806
12,I,L,H,-0.012399545570812673
12,I,L,I,-0.003923801757417855
13,C,H,A,0.01015391520704935
13,C,H,B,-0.025840686021062334
13,C,H,C,0.05409711200999881
13,C,H,D,-0.03461430744531466
13,C,H,E,0.005141597839972117
13,C,H,F,0.04386569277455313
13,C,H,G,-0.009392393992270709
13,C,H,H,-0.025086719580239836
13,C,H,I,-0.018324210792685813
13,C,M,A,0.0024068685667917727
13,C,M,B,-0.03511284440170627
13,C,M,C,0.07914286881581487
13,C,M,D,-0.03375629394716795
13,C,M,E,0.03974499784056809
13,C,M,F,0.04403898478014748
13,C,M,G,-0.017692254168652805
13,C,M,H,-0.05975526442885622
13,C,M,I,-0.019017063056938968
13,C,L,A,0.007893009103173088
13,C,L,B,-0.027041699484263125
13,C,L,C,0.0660272904761435
13,C,L,D,-0.030392873926506317
13,C,L,E,0.031042118082799913
13,C,L,F,0.01765480280324669
13,C,L,G,-0.011326450374234145
13,C,L,H,-0.04261270871090786
13,C,L,I,-0.011243487969451696
13,I,H,A,0.012863476759999076
13,I,H,B,-0.01939146940568337
13,I,H,C,0.06290435613850756
13,I,H,D,-0.04721843009533713
13,I,H,E,0.04989995457161192
13,I,H,F,0.008429908671546138
13,I,H,G,-0.01922372106206087
13,I,H,H,-0.03392175610975953
13,I,H,I,-0.014342319468823778
13,I,M,A,0.021594244840646037
13,I,M,B,-0.018968284421119502
13,I,M,C,0.054842919207761825
13,I,M,D,-0.04734432347780369
13,I,M,E,0.0380564156034196
13,I,M,F,0.006650699541615623
13,I,M,G,-0.02747773846411071
13,I,M,H,-0.024010522545631657
13,I,M,I,-0.003343410284777512
13,I,L,A,0.01606202449110343
13,I,L,B,-0.03426092373493781
13,I,L,C,0.017406394779143117
13,I,L,D,-0.026595713652180997
13,I,L,E,0.03555717986073212
13,I,L,F,0.02337541106746019
13,I,L,G,-0.027168324185989995
13,I,L,H,-0.01051917351626483
13,I,L,I,0.006143124890934826
14,C,H,A,0.017483040204173267
14,C,H,B,-0.01785846439967481
14,C,H,C,0.030691849623067258
14,C,H,D,-0.011494300729105011
14,C,H,E,-0.011339318343449228
14,C,H,F,0.0027477368215680503
14,C,H,G,-0.011652419444695361
14,C,H,H,0.012248413837817815
14,C,H,I,-0.01082653756970195
14,C,M,A,0.005213045932423416
14,C,M,B,-0.0008978237347931767
14,C,M,C,-0.001567077774265374
14,C,M,D,-0.00494034334743608
14,C,M,E,0.015687232789144606
14,C,M,F,-0.03704573147468401
14,C,M,G,-0.016532184260501584
14,C,M,H,0.017441003302857694
14,C,M,I,0.022641878567254553
14,C,L,A,0.004955378302733765
14,C,L,B,0.002440386383340265
14,C,L,C,-0.008906114320365588
14,C,L,D,-0.004492834752928124
14,C,L,E,0.0003395063642331886
14,C,L,F,-0.007175120062823337
14,C,L,G,-0.006037270697405103
14,C,L,H,0.01796149733973569
14,C,L,I,0.0009145714434792562
14,I,H,A,0.00632606128985147
14,I,H,B,-0.0009648902103882862
14,I,H,C,0.007191466122133894
14,I,H,D,-0.005844801837311675
14,I,H,E,-0.009099339330019912
14,I,H,F,-0.005548865366891392
14,I,H,G,-0.008679991618955801
14,I,H,H,0.015338434517741556
14,I,H,I,0.001281926433840161
14,I,M,A,0.00898135846100992
14,I,M,B,-0.017945325748992547
14,I,M,C,0.0024423357508905896
14,I,M,D,-0.011321324145448841
14,I,M,E,-0.016751921283576332
14,I,M,F,0.01695702180194794
14,I,M,G,-1.8764070049331893e-05
14,I,M,H,0.015631434811245543
14,I,M,I,0.0020251844229731003
14,I,L,A,-0.010095818448094943
14,I,L,B,-0.007316070856558374
14,I,L,C,0.022243134337708526
14,I,L,D,-0.007872612960687211
14,I,L,E,-0.011268555245034617
14,I,L,F,0.002190975753232141
14,I,L,G,-0.010581691540955604
14,I,L,H,0.019103028373592262
14,I,L,I,0.0035976105867978753
15,C,H,A,-0.02811223885128955
15,C,H,B,-0.04108903353836957
15,C,H,C,0.018698644520272742
15,C,H,D,0.0308300485867119
15,C,H,E,-0.010939228114461005
15,C,H,F,0.01645978674270064
15,C,H,G,0.03918220081844366
15,C,H,H,-0.020438572606921696
15,C,H,I,-0.004591607557087124
15,C,M,A,-0.015394235999189015
15,C,M,B,-0.008250200421519305
15,C,M,C,-0.0010534916547662448
15,C,M,D,0.024007873760281212
15,C,M,E,-0.018998262558238763
15,C,M,F,0.013350859101874113
15,C,M,G,0.04701729826830568
15,C,M,H,-0.027783131735569247
15,C,M,I,-0.012896708761178446
15,C,L,A,-0.016088868714955906
15,C,L,B,-0.027371217592597447
15,C,L,C,0.012366421054013213
15,C,L,D,0.02675955287530049
15,C,L,E,-0.021774195031681792
15,C,L,F,-0.0006240293375846251
15,C,L,G,0.04651626365981186
15,C,L,H,-0.03231257944015754
15,C,L,I,0.012528652527851764
15,I,H,A,-0.035908171656890434
15,I,H,B,-0.03531194521304651
15,I,H,C,0.05447613925157459
15,I,H,D,-0.004653366768946177
15,I,H,E,-0.003484840351399704
15,I,H,F,0.023630164157171313
