,subj,K,GEV,silhouette,calinski-harabasz,dunn,davies_bouldin
229,26,6,0.7609015680742371,0.2400827473896538,3513.6364095195554,3.997701373937383e-08,677049454482169.4
230,26,7,0.7728017012178652,0.2471580413760462,2939.4633578845446,1.0488188089311504e-08,663826035493195.0
231,26,8,0.7822393757933005,0.23210117772791977,2429.991556968811,3.32134907596542e-08,4222483193489998.0
232,26,9,0.7901084335232725,0.22454465044470534,2105.1027215563877,1.0378894141943651e-08,2902976906251570.5
233,26,10,0.7970417708331706,0.24162247048871072,2108.373879931155,1.1647361056268841e-08,2697563147636636.0
234,27,2,0.6863047892074704,0.5265736476948703,1850.5705413453697,1.1995143147209765e-09,3.722533571882209e+16
235,27,3,0.737072536493854,0.6946412885163353,5429.453639339805,4.842270701637109e-09,5941224467569203.0
236,27,4,0.7650804578768688,0.3327264623012694,3964.1245848879666,4.880273717999944e-09,9.33679441984416
237,27,5,0.7860563124223237,0.36973519999412713,3646.0394600330055,1.96595592230066e-08,2906792027478938.0
238,27,6,0.8003515398186277,0.2889856398074077,3662.527645321238,1.310694416236202e-08,2842626353718517.0
239,27,7,0.8121030090752052,0.26023853625140386,2897.0955902283513,1.2064996687237135e-07,1996490727795677.8
240,27,8,0.8217852449477199,0.2572241417353933,3245.7464410038897,1.7011290640003544e-07,2135619897857056.0
241,27,9,0.8294084034735035,0.2586881100295598,2872.0594790140385,1.6565262083777798e-07,244921499444638.97
242,27,10,0.835536743846129,0.2408445268824049,2753.1927574284077,1.4309189541302318e-07,1885919214295862.0
243,28,2,0.6341626184755147,0.5799739270323649,2913.3299530233758,1.0075285367392673e-10,5.879078255010279e+16
244,28,3,0.6874879465567091,0.5343162658686001,2671.793489182051,4.590463414679981e-09,10.329868018876041
245,28,4,0.7287216176480725,0.5521147071036562,3553.5470106760285,2.051023294294087e-09,4938371876259281.0
246,28,5,0.7541468020617491,0.47204864382446804,3913.293408053363,1.5501718598213053e-08,3804734721861462.5
247,28,6,0.7736120662039411,0.39155769115680567,3514.5601046164566,7.332158670057291e-08,594907008474957.9
248,28,7,0.7885200521150346,0.3509255364351165,3127.1917210833353,1.0994095450556303e-07,2051518247487143.5
249,28,8,0.7992354921858708,0.32487125050042526,3108.327300555848,2.78105540525631e-07,2.658595293891267
250,28,9,0.8088607078902921,0.32363257320687355,2549.7283173717947,2.78105540525631e-07,1296723929389395.5
251,28,10,0.8155691545505689,0.2863661322472536,2678.908432806994,8.793249687176357e-07,633710186446430.8
252,29,2,0.6612653741986841,0.5879350584434851,2866.8875801069244,2.8903541211958124e-10,4.077846882014385e+16
253,29,3,0.7133469351691843,0.5795876271714967,6914.063556053162,1.4248731958850127e-09,10.401864365863469
254,29,4,0.750502612986912,0.4850993748920944,4437.851809851928,4.453082999637748e-09,5.57079416957487
255,29,5,0.7781031298357037,0.44747262579863,3401.2288520445222,1.7197625839741584e-08,2.1200938383800056
256,29,6,0.7980552437676944,0.4102649750020044,2559.6197543579237,3.016135330989787e-08,1369225822949111.5
257,29,7,0.8124675210781678,0.36806041822571517,3897.3260123031,4.178186701911893e-08,601548361920402.1
258,29,8,0.8236766966731163,0.3451841190451403,1774.8786244591286,3.016135330989787e-08,999179651831129.4
259,29,9,0.8331990503745328,0.339531843795951,3266.3425022491,3.2060325900076677e-08,1448999647758417.5
260,29,10,0.8400531648640029,0.3087091341315671,2792.8000847631033,3.332416880008618e-08,931510874370295.8
261,30,2,0.6557113316860311,0.593234658393069,7914.720296019999,2.981418781078661e-10,17.127540517254026
262,30,3,0.7064196039269852,0.6621574612405559,2268.452770553213,3.7678459996379455e-10,3.371241352540917e+16
